disease,entrez_id
kidney diseases,79663
kidney diseases,5310
kidney diseases,4306
kidney diseases,760
kidney diseases,81494
kidney diseases,6557
kidney diseases,5190
kidney diseases,7225
kidney diseases,6519
kidney diseases,200420
kidney diseases,5314
kidney diseases,8542
kidney diseases,3557
kidney diseases,6648
kidney diseases,5824
kidney diseases,5828
kidney diseases,11112
kidney diseases,7056
kidney diseases,10665
kidney diseases,4868
kidney diseases,407977
kidney diseases,80832
kidney diseases,23607
kidney diseases,3939
kidney diseases,142680
kidney diseases,718
kidney diseases,7809
kidney diseases,4968
kidney diseases,11281
kidney diseases,84902
kidney diseases,22925
kidney diseases,4233
kidney diseases,116093
kidney diseases,23562
kidney diseases,6569
kidney diseases,1188
kidney diseases,4643
kidney diseases,4841
kidney diseases,5696
kidney diseases,3075
kidney diseases,55589
kidney diseases,28991
kidney diseases,284274
kidney diseases,5830
kidney diseases,988
kidney diseases,595
kidney diseases,120227
kidney diseases,65266
kidney diseases,7030
kidney diseases,11136
kidney diseases,22918
kidney diseases,9658
kidney diseases,81
kidney diseases,100270946
kidney diseases,6781
kidney diseases,449493
kidney diseases,493856
kidney diseases,9380
kidney diseases,9153
kidney diseases,5311
kidney diseases,51196
kidney diseases,6514
kidney diseases,57619
kidney diseases,6665
kidney diseases,525
kidney diseases,26011
kidney diseases,221416
kidney diseases,57575
kidney diseases,6582
kidney diseases,100271209
kidney diseases,64423
kidney diseases,9526
kidney diseases,11122
kidney diseases,2646
kidney diseases,4627
kidney diseases,7029
kidney diseases,10863
kidney diseases,2271
kidney diseases,6421
kidney diseases,1729
kidney diseases,8897
kidney diseases,51422
kidney diseases,79611
kidney diseases,50617
kidney diseases,389840
kidney diseases,7422
kidney diseases,79058
kidney diseases,3123
kidney diseases,4952
kidney diseases,5972
kidney diseases,51071
kidney diseases,7428
kidney diseases,3758
kidney diseases,30011
kidney diseases,8504
kidney diseases,646195
kidney diseases,629
kidney diseases,8741
kidney diseases,5167
kidney diseases,10255
kidney diseases,150280
kidney diseases,27241
kidney diseases,1636
kidney diseases,2056
kidney diseases,7490
kidney diseases,5546
kidney diseases,183
kidney diseases,185
kidney diseases,9409
