chemical,pubchem_compound_id,entrez_id,symbol
butein,5281222.0,6718.0,AKR1D1
butein,5281222.0,239.0,ALOX12
butein,5281222.0,59272.0,ACE2
butein,5281222.0,1109.0,AKR1C4
butein,5281222.0,1956.0,EGFR
butein,5281222.0,231.0,AKR1B1
butein,5281222.0,1636.0,ACE
butein,5281222.0,246.0,ALOX15
butein,5281222.0,83592.0,AKR1E2
butein,5281222.0,10327.0,AKR1A1
butein,5281222.0,59344.0,ALOXE3
butein,5281222.0,242.0,ALOX12B
butein,5281222.0,57016.0,AKR1B10
butein,5281222.0,2730.0,GCLM
butein,5281222.0,240.0,ALOX5
butein,5281222.0,247.0,ALOX15B
butein,5281222.0,8644.0,AKR1C3
butein,5281222.0,1646.0,AKR1C2
butein,5281222.0,1645.0,AKR1C1
butein,5281222.0,441282.0,AKR1B15
phloretin,4788.0,2099.0,ESR1
phloretin,4788.0,6513.0,SLC2A1
phloretin,4788.0,2099.0,ESR1
phloretin,4788.0,6513.0,SLC2A1
phloridzin,4789.0,200010.0,SLC5A9
phloridzin,4789.0,6527.0,SLC5A4
phloridzin,4789.0,6523.0,SLC5A1
phloridzin,4789.0,115584.0,SLC5A11
phloridzin,4789.0,6524.0,SLC5A2
phloridzin,4789.0,64078.0,SLC28A3
phloridzin,4789.0,6526.0,SLC5A3
phloridzin,4789.0,125206.0,SLC5A10
hesperetin,72281.0,1545.0,
naringenin,439246.0,1432.0,MAPK14
naringenin,439246.0,1588.0,
naringin,442428.0,1588.0,
apigenin,5280443.0,2099.0,ESR1
apigenin,5280443.0,1457.0,CSNK2A1
apigenin,5280443.0,4126.0,MANBA
apigenin,5280443.0,9429.0,ABCG2
apigenin,5280443.0,2322.0,FLT3
apigenin,5280443.0,1588.0,
apigenin,5280443.0,1545.0,
apigenin,5280443.0,50507.0,NOX4
apigenin,5280443.0,590.0,BCHE
apigenin,5280443.0,1021.0,CDK6
apigenin,5280443.0,231.0,AKR1B1
apigenin,5280443.0,2990.0,GUSB
apigenin,5280443.0,43.0,ACHE
apigenin,5280443.0,2932.0,GSK3B
apigenin,5280443.0,3735.0,KARS
apigenin,5280443.0,4128.0,MAOA
apigenin,5280443.0,1544.0,CYP1A2
apigenin,5280443.0,2100.0,ESR2
apigenin,5280443.0,5743.0,PTGS2
apigenin,5280443.0,80351.0,TNKS2
apigenin,5280443.0,367.0,AR
apigenin,5280443.0,7498.0,XDH
apigenin,5280443.0,1543.0,CYP1A1
apigenin,5280443.0,4363.0,ABCC1
apigenin,5280443.0,3292.0,HSD17B1
apigenin,5280443.0,2099.0,ESR1
apigenin,5280443.0,1457.0,CSNK2A1
apigenin,5280443.0,4126.0,MANBA
apigenin,5280443.0,9429.0,ABCG2
apigenin,5280443.0,2322.0,FLT3
apigenin,5280443.0,1588.0,
apigenin,5280443.0,1545.0,
apigenin,5280443.0,50507.0,NOX4
apigenin,5280443.0,590.0,BCHE
apigenin,5280443.0,1021.0,CDK6
apigenin,5280443.0,231.0,AKR1B1
apigenin,5280443.0,2990.0,GUSB
apigenin,5280443.0,43.0,ACHE
apigenin,5280443.0,2932.0,GSK3B
apigenin,5280443.0,3735.0,KARS
apigenin,5280443.0,4128.0,MAOA
apigenin,5280443.0,1544.0,CYP1A2
apigenin,5280443.0,2100.0,ESR2
apigenin,5280443.0,5743.0,PTGS2
apigenin,5280443.0,80351.0,TNKS2
apigenin,5280443.0,367.0,AR
apigenin,5280443.0,7498.0,XDH
