chemical,disease,n_proteins_mapped_chemical,n_proteins_mapped_disease,closest,avg_closest_null,std_closest_null,z_closest
coumarin,liver diseases,7,81,1.714285714,1.822142857,0.167635112,-0.643404248
coumarin,lung diseases,7,83,1.571428571,1.754142857,0.184676164,-0.989376654
coumarin,overweight,7,14,2.285714286,2.093,0.125128424,1.540131969
coumarin,bone marrow diseases,7,60,1.714285714,1.780428571,0.171704005,-0.385214411
coumarin,tauopathies,7,38,1.857142857,1.894428571,0.151379979,-0.246305453
coumarin,intellectual disability,7,99,1.714285714,1.780142857,0.160768499,-0.409639596
coumarin,spondylarthropathies,7,20,2,1.971428571,0.120373568,0.237356332
coumarin,anemia,7,60,1.428571429,1.888428571,0.135152144,-3.402514596
coumarin,"carcinoma, renal cell",7,19,2,1.985428571,0.118974873,0.12247484
coumarin,"cardiomyopathy, dilated",7,32,2.285714286,1.907142857,0.146350153,2.58675116
coumarin,inflammatory bowel diseases,7,144,1.428571429,1.735428571,0.171909801,-1.78498923
coumarin,prostatic diseases,7,68,1.714285714,1.841142857,0.162471724,-0.780795202
coumarin,vascular diseases,7,213,1.714285714,1.645714286,0.187660136,0.365402211
coumarin,hypersensitivity,7,54,1.571428571,1.892571429,0.152830171,-2.101305355
coumarin,metabolic diseases,7,649,1,1.339428571,0.199929784,-1.697738903
coumarin,sleep disorders,7,21,2.428571429,2.066142857,0.125082095,2.897525581
coumarin,"abnormalities, multiple",7,141,1.714285714,1.671428571,0.183725616,0.233267106
coumarin,"leukemia, myeloid, acute",7,43,1.857142857,1.821714286,0.156132858,0.226912976
coumarin,alzheimer disease,7,32,1.857142857,1.920285714,0.141033792,-0.447714381
coumarin,"liver cirrhosis, biliary",7,28,2.142857143,1.935857143,0.151818837,1.363467172
coumarin,"death, sudden",7,23,2,1.970285714,0.159126185,0.186734104
coumarin,cerebrovascular disorders,7,52,2,1.928857143,0.13030545,0.545969929
coumarin,"genital diseases, male",7,94,1.571428571,1.824285714,0.151394875,-1.670182976
coumarin,uveal diseases,7,19,2,2.023857143,0.114384868,-0.208569047
coumarin,cerebellar ataxia,7,35,2,1.937285714,0.125704464,0.498902615
coumarin,virus diseases,7,22,2,1.98,0.159616888,0.125300024
coumarin,"infant, newborn, diseases",7,53,2,1.927285714,0.132011054,0.550819674
coumarin,parkinson disease,7,39,2.142857143,1.878714286,0.15052283,1.754835838
coumarin,behcet syndrome,7,14,2,2.053142857,0.120171306,-0.442225842
coumarin,"genital neoplasms, male",7,77,1.714285714,1.856285714,0.143424872,-0.990065378
coumarin,exophthalmos,7,14,2.142857143,2.097714286,0.13187378,0.342318671
coumarin,epilepsy,7,32,2.142857143,2.040285714,0.113252112,0.90569109
coumarin,immune system diseases,7,473,1.285714286,1.379714286,0.191078358,-0.491944777
coumarin,"purine-pyrimidine metabolism, inborn errors",7,20,2,2.065428571,0.128748767,-0.508187947
coumarin,retinal diseases,7,138,1.857142857,1.850142857,0.149051354,0.046963679
coumarin,nervous system diseases,7,805,1.428571429,1.234714286,0.180563234,1.073624669
coumarin,"muscular disorders, atrophic",7,36,2,1.939285714,0.122088543,0.497297162
coumarin,thyroid diseases,7,35,1.857142857,1.968857143,0.130811907,-0.854007009
coumarin,"carbohydrate metabolism, inborn errors",7,85,2,1.903285714,0.137073718,0.705564038
coumarin,tdp-43 proteinopathies,7,30,1.857142857,1.869571429,0.14828482,-0.083815535
coumarin,"colitis, ulcerative",7,68,1.714285714,1.871714286,0.147468156,-1.067542819
coumarin,dementia,7,47,1.857142857,1.837714286,0.168396035,0.115374281
coumarin,disorders of sex development,7,27,2.142857143,1.985428571,0.117941182,1.334805778
coumarin,skin diseases,7,310,1.714285714,1.477285714,0.183987522,1.288130835
coumarin,neoplasms,7,531,1.428571429,1.297428571,0.183240446,0.715687282
coumarin,"congenital, hereditary, and neonatal diseases and abnormalities",7,1129,1.142857143,1.158285714,0.177415458,-0.086962949
coumarin,motor neuron disease,7,36,1.857142857,1.835714286,0.163850355,0.130781355
coumarin,cardiomyopathies,7,53,2,1.87,0.143277952,0.907327321
coumarin,joint diseases,7,89,1.857142857,1.795571429,0.174919165,0.351999328
coumarin,"uveitis, anterior",7,14,2,2.053142857,0.120171306,-0.442225842
coumarin,graves disease,7,14,2.142857143,2.097714286,0.13187378,0.342318671
coumarin,"renal tubular transport, inborn errors",7,38,1.857142857,2.008571429,0.119557005,-1.266580497
coumarin,muscular dystrophies,7,39,2,1.943571429,0.118233166,0.477265163
coumarin,carotid artery diseases,7,19,2,2.038285714,0.119537886,-0.320281006
coumarin,"pathological conditions, signs and symptoms",7,220,1.714285714,1.694142857,0.172799223,0.116567985
coumarin,heart diseases,7,197,1.857142857,1.676,0.175439739,1.032507561
coumarin,leprosy,7,20,2.285714286,2.064714286,0.130445938,1.694188433
coumarin,breast neoplasms,7,43,2,1.816285714,0.169404961,1.084468156
coumarin,bone diseases,7,162,1.428571429,1.668428571,0.184941193,-1.296937361
coumarin,respiratory tract diseases,7,103,1.571428571,1.733714286,0.185136684,-0.876572436
coumarin,cardiovascular abnormalities,7,71,2,1.883714286,0.148420528,0.78348808
coumarin,death,7,23,2,1.970285714,0.159126185,0.186734104
coumarin,arteriosclerosis,7,45,2,1.970428571,0.121231016,0.243926262
coumarin,intestinal neoplasms,7,43,1.857142857,1.796428571,0.173344943,0.350251265
coumarin,skin abnormalities,7,72,2,1.845571429,0.155342873,0.9941143
coumarin,adenocarcinoma,7,32,1.857142857,1.869,0.163264591,-0.072625318
coumarin,urological manifestations,7,19,1.857142857,2.078142857,0.13231001,-1.670319576
coumarin,"anemia, hemolytic",7,29,1.714285714,2.000857143,0.115171921,-2.488205681
coumarin,respiratory hypersensitivity,7,45,1.571428571,1.908142857,0.1598182,-2.1068582
coumarin,ovarian diseases,7,28,2,1.827142857,0.189084799,0.914177891
coumarin,spinocerebellar ataxias,7,33,2,1.945571429,0.122544369,0.444153997
coumarin,urogenital neoplasms,7,135,1.571428571,1.670571429,0.173344296,-0.571941849
coumarin,"anemia, aplastic",7,21,1.857142857,1.952,0.119104139,-0.796421885
coumarin,head and neck neoplasms,7,38,1.857142857,1.871714286,0.152100665,-0.095801216
coumarin,lung neoplasms,7,21,1.857142857,1.863,0.176086655,-0.033262843
coumarin,leukemia,7,124,1.571428571,1.651714286,0.173684913,-0.462249213
coumarin,actinomycetales infections,7,29,2.285714286,1.989571429,0.123690776,2.394219406
coumarin,colonic diseases,7,116,1.571428571,1.725,0.176205759,-0.871546025
coumarin,colitis,7,68,1.714285714,1.871714286,0.147468156,-1.067542819
coumarin,blood platelet disorders,7,28,2,2.014142857,0.119795659,-0.118058177
coumarin,esophageal diseases,7,26,2,1.909142857,0.146768178,0.619052061
coumarin,keratosis,7,25,2.285714286,1.987714286,0.127022736,2.346036693
coumarin,rectal diseases,7,32,1.857142857,1.851285714,0.165696982,0.035348519
coumarin,insulin resistance,7,32,1.857142857,2.019857143,0.11620522,-1.400232161
coumarin,mycobacterium infections,7,29,2.285714286,1.989571429,0.123690776,2.394219406
coumarin,spinocerebellar degenerations,7,35,2,1.958571429,0.117794356,0.351702518
coumarin,ocular motility disorders,7,20,2.142857143,2.065142857,0.122229627,0.635805638
coumarin,adrenal gland diseases,7,19,2,1.968428571,0.152540326,0.206971031
coumarin,"lysosomal storage diseases, nervous system",7,36,2.142857143,1.979,0.121335342,1.350448597
coumarin,intestinal diseases,7,222,1.285714286,1.589428571,0.183732503,-1.653024265
coumarin,myocardial ischemia,7,52,2,1.925142857,0.143101505,0.523105209
coumarin,gout,7,17,2,2.088714286,0.128679241,-0.689421894
coumarin,neuromuscular diseases,7,177,1.428571429,1.607428571,0.194227722,-0.920863101
coumarin,hematologic diseases,7,198,1.285714286,1.596285714,0.181362418,-1.712435424
coumarin,spinal cord diseases,7,70,1.857142857,1.754142857,0.177807451,0.57927831
coumarin,multiple sclerosis,7,84,1.714285714,1.778,0.172560785,-0.369228071
coumarin,albuminuria,7,19,1.857142857,2.078142857,0.13231001,-1.670319576
coumarin,metabolic syndrome x,7,17,2.142857143,2.058571429,0.131234329,0.642253557
coumarin,brain diseases,7,351,1.571428571,1.518571429,0.185554877,0.284859896
coumarin,connective tissue diseases,7,175,2,1.671,0.182118542,1.806515672
coumarin,neoplasms by site,7,281,1.571428571,1.476142857,0.187579153,0.507976033
coumarin,female urogenital diseases,7,264,1.142857143,1.591571429,0.189366236,-2.36955803
coumarin,"spastic paraplegia, hereditary",7,23,1.857142857,2.002285714,0.111916879,-1.296880852
coumarin,heart arrest,7,17,2,1.982714286,0.163903842,0.105462533
coumarin,"lymphoma, non-hodgkin",7,26,1.857142857,1.883571429,0.162177466,-0.162960811
coumarin,"leukemia, lymphoid",7,73,1.857142857,1.836142857,0.146899313,0.142955059
coumarin,musculoskeletal diseases,7,330,1.285714286,1.488857143,0.187894673,-1.081152828
coumarin,nutrition disorders,7,25,2.142857143,2.066,0.116457577,0.659958283
coumarin,autoimmune diseases of the nervous system,7,99,1.571428571,1.755571429,0.176327559,-1.044322611
coumarin,"limb deformities, congenital",7,21,2,1.919142857,0.152639632,0.529725747
coumarin,"arthritis, rheumatoid",7,43,2.142857143,1.903428571,0.135753678,1.763698591
coumarin,lipidoses,7,29,2.142857143,2.011285714,0.115948528,1.134739961
coumarin,retinitis pigmentosa,7,72,1.857142857,1.937285714,0.129542287,-0.618661744
coumarin,male urogenital diseases,7,317,1.142857143,1.570571429,0.19325166,-2.213250255
coumarin,neuroendocrine tumors,7,25,2,1.940857143,0.126055058,0.469182739
coumarin,pancreatic diseases,7,25,2,1.913142857,0.153618664,0.565407488
coumarin,"death, sudden, cardiac",7,17,2,1.982714286,0.163903842,0.105462533
coumarin,hemostatic disorders,7,24,2.142857143,1.996571429,0.116182826,1.259099298
coumarin,blood coagulation disorders,7,40,2,1.983285714,0.117396155,0.14237507
coumarin,"neoplasms, connective tissue",7,30,1.857142857,1.871571429,0.156544249,-0.092169284
coumarin,"leukemia, lymphocytic, chronic, b-cell",7,19,2.142857143,1.954285714,0.155287751,1.214335496
coumarin,proteostasis deficiencies,7,40,1.571428571,1.816285714,0.171678627,-1.426252918
coumarin,liver cirrhosis,7,30,2.142857143,1.933428571,0.143629626,1.458115416
coumarin,"cardiomyopathy, hypertrophic",7,23,2.285714286,1.999714286,0.121721998,2.349616369
coumarin,hair diseases,7,22,2,2.007285714,0.122424404,-0.059511944
coumarin,"neoplasms, germ cell and embryonal",7,59,2,1.790285714,0.166290623,1.261131154
coumarin,arterial occlusive diseases,7,51,1.857142857,1.929571429,0.134160352,-0.539865694
coumarin,dyskinesias,7,50,1.857142857,1.853714286,0.155931958,0.021987612
coumarin,prostatic neoplasms,7,68,1.714285714,1.841142857,0.162471724,-0.780795202
