,chemical,DirectEvidence,disease,pubchem_compound_id
526,cyanidin,therapeutic,Retinal Diseases,128861.0
2858,butein,therapeutic,Dental Pulp Necrosis,5281222.0
3627,phloretin,therapeutic,Drug-Induced Liver Injury,4788.0
4625,phloridzin,therapeutic,"Diabetes Mellitus, Experimental",4789.0
4907,phloridzin,therapeutic,Hyperglycemia,4789.0
6784,dihydroquercetin,therapeutic,Hemolysis,10185.0
8419,(+)-catechin,therapeutic,Atherosclerosis,9064.0
8593,(+)-catechin,therapeutic,Breast Neoplasms,9064.0
8907,(+)-catechin,therapeutic,"Cell Transformation, Neoplastic",9064.0
9124,(+)-catechin,therapeutic,Cystitis,9064.0
9351,(+)-catechin,therapeutic,Drug-Induced Liver Injury,9064.0
9648,(+)-catechin,therapeutic,Hearing Loss,9064.0
9659,(+)-catechin,therapeutic,Heart Diseases,9064.0
9786,(+)-catechin,therapeutic,HIV Infections,9064.0
9850,(+)-catechin,therapeutic,Hyperhomocysteinemia,9064.0
10079,(+)-catechin,therapeutic,Insulin Resistance,9064.0
10368,(+)-catechin,therapeutic,Liver Diseases,9064.0
10379,(+)-catechin,therapeutic,"Liver Failure, Acute",9064.0
10384,(+)-catechin,therapeutic,Liver Neoplasms,9064.0
10537,(+)-catechin,therapeutic,"Mammary Neoplasms, Experimental",9064.0
10740,(+)-catechin,therapeutic,Myocardial Infarction,9064.0
10861,(+)-catechin,therapeutic,Neoplasm Metastasis,9064.0
10926,(+)-catechin,therapeutic,Nerve Degeneration,9064.0
10973,(+)-catechin,therapeutic,Neurodegenerative Diseases,9064.0
11873,(+)-catechin,therapeutic,Weight Gain,9064.0
12184,procyanidin dimer b2,therapeutic,Hyperglycemia,122738.0
13498,hesperetin,therapeutic,Adenocarcinoma,72281.0
14392,hesperetin,therapeutic,Colonic Neoplasms,72281.0
14714,hesperetin,therapeutic,Drug-Induced Liver Injury,72281.0
15230,hesperetin,therapeutic,Hyperalgesia,72281.0
16446,hesperetin,therapeutic,Neuralgia,72281.0
17452,hesperetin,therapeutic,Weight Loss,72281.0
17473,hesperidin,therapeutic,Acute Kidney Injury,10621.0
17481,hesperidin,therapeutic,Acute Lung Injury,10621.0
17618,hesperidin,therapeutic,Bone Resorption,10621.0
17881,hesperidin,therapeutic,Drug-Induced Liver Injury,10621.0
18245,hesperidin,therapeutic,Lung Diseases,10621.0
18361,hesperidin,therapeutic,Necrosis,10621.0
18824,naringenin,therapeutic,Amnesia,439246.0
18940,naringenin,therapeutic,Atherosclerosis,439246.0
19027,naringenin,therapeutic,Brain Neoplasms,439246.0
19196,naringenin,therapeutic,Cardiomyopathies,439246.0
19497,naringenin,therapeutic,Drug-Induced Liver Injury,439246.0
19520,naringenin,therapeutic,Drug-Related Side Effects and Adverse Reactions,439246.0
19540,naringenin,therapeutic,Dyslipidemias,439246.0
19801,naringenin,therapeutic,Hyperglycemia,439246.0
19812,naringenin,therapeutic,Hyperinsulinism,439246.0
19975,naringenin,therapeutic,Kidney Cortex Necrosis,439246.0
19976,naringenin,therapeutic,Kidney Diseases,439246.0
20004,naringenin,therapeutic,"Kidney Tubular Necrosis, Acute",439246.0
20058,naringenin,therapeutic,"Liver Cirrhosis, Experimental",439246.0
20082,naringenin,therapeutic,Liver Diseases,439246.0
20335,naringenin,therapeutic,Necrosis,439246.0
20349,naringenin,therapeutic,Neoplasm Invasiveness,439246.0
20388,naringenin,therapeutic,Neoplasms,439246.0
20397,naringenin,therapeutic,"Neoplasms, Experimental",439246.0
20461,naringenin,therapeutic,Obesity,439246.0
21039,naringin,therapeutic,Acute Kidney Injury,442428.0
21059,naringin,therapeutic,Acute Lung Injury,442428.0
21159,naringin,therapeutic,Anaphylaxis,442428.0
21319,naringin,therapeutic,Atrophy,442428.0
21382,naringin,therapeutic,Bone Resorption,442428.0
21660,naringin,therapeutic,Cardiomegaly,442428.0
21710,naringin,therapeutic,Cardiotoxicity,442428.0
21900,naringin,therapeutic,Cough,442428.0
21941,naringin,therapeutic,"Dermatitis, Allergic Contact",442428.0
22140,naringin,therapeutic,Drug-Induced Liver Injury,442428.0
22183,naringin,therapeutic,Dyslipidemias,442428.0
22190,naringin,therapeutic,Edema,442428.0
22205,naringin,therapeutic,Encephalomalacia,442428.0
22264,naringin,therapeutic,Fatty Liver,442428.0
22296,naringin,therapeutic,Fibrosis,442428.0
22356,naringin,therapeutic,Gliosis,442428.0
22756,naringin,therapeutic,Inflammation,442428.0
22794,naringin,therapeutic,Insulin Resistance,442428.0
22847,naringin,therapeutic,Kidney Diseases,442428.0
23333,naringin,therapeutic,Myocardial Infarction,442428.0
23401,naringin,therapeutic,Necrosis,442428.0
23421,naringin,therapeutic,Neoplasm Invasiveness,442428.0
23545,naringin,therapeutic,Neurotoxicity Syndromes,442428.0
23639,naringin,therapeutic,Osteoporosis,442428.0
23713,naringin,therapeutic,Paraquat lung,442428.0
23758,naringin,therapeutic,"Plaque, Atherosclerotic",442428.0
23766,naringin,therapeutic,Pleurisy,442428.0
23773,naringin,therapeutic,Pneumonia,442428.0
23942,naringin,therapeutic,Pulmonary Fibrosis,442428.0
24023,naringin,therapeutic,Respiratory Hypersensitivity,442428.0
24304,naringin,therapeutic,Uterine Cervical Neoplasms,442428.0
24325,naringin,therapeutic,"Ventricular Dysfunction, Left",442428.0
24348,naringin,therapeutic,Weight Loss,442428.0
24617,apigenin,therapeutic,Adenoviridae Infections,5280443.0
24731,apigenin,therapeutic,"Arthritis, Experimental",5280443.0
24940,apigenin,therapeutic,Breast Neoplasms,5280443.0
25047,apigenin,therapeutic,"Carcinoma, Ehrlich Tumor",5280443.0
25162,apigenin,therapeutic,Cardiomyopathies,5280443.0
25262,apigenin,therapeutic,Chromosome Aberrations,5280443.0
25308,apigenin,therapeutic,Colonic Neoplasms,5280443.0
25801,apigenin,therapeutic,Glioma,5280443.0
26159,apigenin,therapeutic,Inflammation,5280443.0
26575,apigenin,therapeutic,Melanoma,5280443.0
26786,apigenin,therapeutic,Neoplasm Invasiveness,5280443.0
26810,apigenin,therapeutic,Neoplasm Metastasis,5280443.0
